mrt_dist_km,amenity_score,neighborhood_demand,lag_occupancy,month_num,d_covid_phase2,d_absd_hike_2021,d_ahd_tightening,d_ura_guidelines,d_rental_surge,room_type,zone,lease_type,rental_price_sgd,is_vacant,month,planning_area,operator
0.668,0.429,90.71,0.701,1,0,0,0,0,0,Deluxe,Central,3-Month,2220.0,0,2021-01,Rochor,Figment
0.66,0.571,57.56,0.89,1,0,0,0,0,0,Suite,North-East,3-Month,1720.0,0,2021-01,Ang Mo Kio,Hmlet
0.318,0.714,66.05,0.893,1,0,0,0,0,0,Studio,East,Monthly,1550.0,0,2021-01,Paya Lebar,The Assembly Place
0.601,0.429,70.41,0.889,1,0,0,0,0,0,Suite,West,Monthly,1750.0,0,2021-01,Buona Vista,Lyf
1.636,0.429,62.07,0.95,1,0,0,0,0,0,Twin-Share,Central,12-Month,720.0,0,2021-01,Bishan,Cove
0.346,0.571,57.61,0.78,1,0,0,0,0,0,Suite,North-East,3-Month,1740.0,0,2021-01,Ang Mo Kio,Bonztel
0.293,0.571,52.83,0.919,1,0,0,0,0,0,Deluxe,North-East,12-Month,1770.0,0,2021-01,Punggol,Cantonment
0.128,0.714,74.72,0.931,1,0,0,0,0,0,Single,West,Monthly,940.0,0,2021-01,Buona Vista,Cantonment
0.76,1.0,82.39,0.543,1,0,0,0,0,0,Deluxe,Central,3-Month,2150.0,0,2021-01,Novena,Coliwoo
0.911,0.857,46.98,0.904,1,0,0,0,0,0,Twin-Share,North,12-Month,580.0,0,2021-01,Yishun,Cove
1.571,1.0,50.88,0.871,1,0,0,0,0,0,Studio,North-East,12-Month,1330.0,1,2021-01,Sengkang,Bonztel
0.3,0.857,71.95,1.0,1,0,0,0,0,0,Twin-Share,Central,3-Month,830.0,0,2021-01,Kallang,Hmlet
0.601,0.571,39.87,0.869,1,0,0,0,0,0,Twin-Share,North,12-Month,600.0,0,2021-01,Woodlands,Lyf
1.516,0.857,56.08,0.99,1,0,0,0,0,0,Single,Central,3-Month,1040.0,0,2021-01,Bishan,Lyf
0.846,1.0,75.43,0.953,1,0,0,0,0,0,Twin-Share,Central,Monthly,860.0,0,2021-01,Outram,Bonztel
0.638,0.857,81.8,0.884,1,0,0,0,0,0,Studio,Central,Monthly,1790.0,0,2021-01,Queenstown,Hmlet
0.218,0.571,86.82,0.942,1,0,0,0,0,0,Single,Central,3-Month,1170.0,0,2021-01,Outram,The Assembly Place
0.36,0.714,73.71,0.486,1,0,0,0,0,0,Suite,Central,3-Month,2070.0,1,2021-01,Novena,Lyf
0.28,1.0,66.92,0.825,1,0,0,0,0,0,Single,East,12-Month,950.0,0,2021-01,Paya Lebar,Lyf
0.402,1.0,70.22,0.956,1,0,0,0,0,0,Studio,West,3-Month,1520.0,0,2021-01,Buona Vista,Bonztel
0.433,1.0,42.9,0.741,1,0,0,0,0,0,Suite,North,Monthly,1750.0,0,2021-01,Woodlands,Lyf
0.609,0.429,68.35,0.889,1,0,0,0,0,0,Studio,West,3-Month,1350.0,0,2021-01,Buona Vista,Figment
0.733,0.571,68.23,0.675,1,0,0,0,0,0,Deluxe,East,6-Month,1940.0,0,2021-01,Paya Lebar,Coliwoo
0.376,1.0,72.57,0.942,1,0,0,0,0,0,Single,Central,6-Month,1110.0,0,2021-01,Kallang,Cove
0.345,0.714,54.79,0.946,1,0,0,0,0,0,Single,West,12-Month,920.0,0,2021-01,Clementi,Lyf
0.839,0.571,71.9,0.544,1,0,0,0,0,0,Deluxe,Central,3-Month,2130.0,0,2021-01,Geylang,Figment
1.512,0.286,58.87,0.807,1,0,0,0,0,0,Single,Central,Monthly,940.0,0,2021-01,Bishan,Lyf
1.813,0.714,60.64,0.793,1,0,0,0,0,0,Single,Central,3-Month,940.0,0,2021-01,Bishan,Cantonment
0.526,0.571,78.29,0.773,1,0,0,0,0,0,Studio,Central,3-Month,1710.0,0,2021-01,Outram,Hmlet
0.041,1.0,67.22,0.834,1,0,0,0,0,0,Deluxe,East,3-Month,1960.0,0,2021-01,Paya Lebar,Cove
1.375,0.286,43.28,0.696,1,0,0,0,0,0,Deluxe,North-East,6-Month,1790.0,0,2021-01,Sengkang,Hmlet
0.439,0.571,74.9,0.962,1,0,0,0,0,0,Master,Central,12-Month,1260.0,0,2021-01,Kallang,Coliwoo
3.273,0.857,52.3,0.992,1,0,0,0,0,0,Twin-Share,West,Monthly,530.0,0,2021-01,Jurong East,Hmlet
0.463,0.857,60.35,0.851,1,0,0,0,0,0,Studio,West,6-Month,1480.0,0,2021-01,Clementi,Bonztel
0.58,0.286,86.0,0.92,1,0,0,0,0,0,Single,Central,6-Month,1140.0,0,2021-01,Outram,Bonztel
1.939,0.429,45.24,1.0,1,0,0,0,0,0,Suite,North-East,12-Month,1320.0,0,2021-01,Sengkang,Lyf
0.166,0.286,84.75,0.842,1,0,0,0,0,0,Deluxe,Central,Monthly,2220.0,1,2021-01,Outram,Bonztel
0.551,0.429,67.84,0.667,1,0,0,0,0,0,Studio,Central,Monthly,1770.0,0,2021-01,Queenstown,Bonztel
0.521,0.571,59.38,1.0,1,0,0,0,0,0,Deluxe,East,6-Month,1880.0,0,2021-01,Tampines,Lyf
0.016,0.857,54.62,0.896,1,0,0,0,0,0,Deluxe,North-East,3-Month,2110.0,0,2021-01,Punggol,Figment
0.421,0.714,53.56,0.893,1,0,0,0,0,0,Suite,North-East,6-Month,1550.0,0,2021-01,Punggol,Coliwoo
0.688,1.0,42.41,0.817,1,0,0,0,0,0,Master,North,12-Month,1190.0,0,2021-01,Woodlands,Hmlet
0.45,0.571,65.83,0.882,1,0,0,0,0,0,Deluxe,West,3-Month,1780.0,0,2021-01,Buona Vista,Figment
0.256,1.0,84.33,1.0,1,0,0,0,0,0,Twin-Share,Central,Monthly,920.0,0,2021-01,Outram,The Assembly Place
0.478,0.286,41.48,0.95,1,0,0,0,0,0,Twin-Share,North-East,Monthly,760.0,0,2021-01,Punggol,Cove
1.616,0.571,53.83,1.0,1,0,0,0,0,0,Twin-Share,North-East,12-Month,580.0,0,2021-01,Sengkang,Cove
0.694,0.429,38.17,0.923,1,0,0,0,0,0,Twin-Share,North,6-Month,690.0,0,2021-01,Woodlands,The Assembly Place
0.164,0.857,47.83,1.0,1,0,0,0,0,0,Master,North-East,3-Month,1310.0,0,2021-01,Ang Mo Kio,The Assembly Place
0.244,1.0,53.1,0.955,1,0,0,0,0,0,Master,North-East,6-Month,1210.0,1,2021-01,Ang Mo Kio,Hmlet
1.739,1.0,54.42,0.832,1,0,0,0,0,0,Single,Central,3-Month,1080.0,0,2021-01,Bishan,Cove
0.435,1.0,56.21,0.922,1,0,0,0,0,0,Suite,East,12-Month,1700.0,0,2021-01,Tampines,The Assembly Place
0.439,0.286,43.77,0.815,1,0,0,0,0,0,Single,North,6-Month,810.0,0,2021-01,Yishun,Cantonment
1.859,1.0,59.62,0.961,1,0,0,0,0,0,Suite,North-East,12-Month,1470.0,0,2021-01,Sengkang,Hmlet
0.638,0.429,49.94,0.812,1,0,0,0,0,0,Deluxe,North-East,12-Month,1550.0,0,2021-01,Punggol,Cove
0.468,0.714,88.99,0.762,1,0,0,0,0,0,Master,Central,Monthly,1550.0,1,2021-01,Rochor,Coliwoo
0.602,0.429,84.67,1.0,1,0,0,0,0,0,Studio,Central,6-Month,1540.0,0,2021-01,Outram,Bonztel
0.543,0.286,50.38,0.955,1,0,0,0,0,0,Master,East,12-Month,1200.0,0,2021-01,Tampines,Figment
0.218,0.429,57.34,0.978,1,0,0,0,0,0,Single,North,6-Month,790.0,0,2021-01,Yishun,Coliwoo
0.822,0.571,82.89,0.99,1,0,0,0,0,0,Single,Central,3-Month,1040.0,0,2021-01,Outram,Hmlet
0.552,0.857,69.69,1.0,1,0,0,0,0,0,Twin-Share,West,Monthly,730.0,0,2021-01,Buona Vista,The Assembly Place
0.39,0.429,64.63,0.539,1,0,0,0,0,0,Suite,East,3-Month,1750.0,0,2021-01,Paya Lebar,Lyf
0.209,0.857,90.26,0.979,1,0,0,0,0,0,Studio,Central,12-Month,1540.0,0,2021-01,Rochor,Bonztel
0.594,0.571,54.55,0.927,1,0,0,0,0,0,Single,East,6-Month,1000.0,0,2021-01,Paya Lebar,Coliwoo
0.569,0.571,52.56,0.895,1,0,0,0,0,0,Deluxe,North-East,Monthly,2030.0,0,2021-01,Ang Mo Kio,Cantonment
1.66,0.429,60.21,0.964,1,0,0,0,0,0,Studio,North-East,3-Month,1320.0,0,2021-01,Sengkang,The Assembly Place
0.339,0.857,54.91,0.565,2,0,0,0,0,0,Suite,West,12-Month,1850.0,0,2021-02,Clementi,The Assembly Place
0.801,0.429,74.13,0.901,2,0,0,0,0,0,Studio,Central,3-Month,1550.0,0,2021-02,Novena,The Assembly Place
0.884,0.286,70.34,0.921,2,0,0,0,0,0,Deluxe,East,6-Month,1700.0,0,2021-02,Paya Lebar,Bonztel
0.46,0.429,54.86,0.98,2,0,0,0,0,0,Twin-Share,East,3-Month,730.0,0,2021-02,Tampines,The Assembly Place
0.428,0.857,66.99,0.828,2,0,0,0,0,0,Suite,West,Monthly,1690.0,0,2021-02,Clementi,Figment
0.324,0.429,45.85,0.691,2,0,0,0,0,0,Suite,North,12-Month,1590.0,0,2021-02,Yishun,Hmlet
0.509,0.571,47.36,0.95,2,0,0,0,0,0,Single,North,6-Month,820.0,0,2021-02,Woodlands,Lyf
0.313,0.286,61.66,0.58,2,0,0,0,0,0,Studio,North-East,6-Month,1370.0,0,2021-02,Serangoon,The Assembly Place
1.718,0.571,59.76,0.904,2,0,0,0,0,0,Studio,Central,12-Month,1250.0,0,2021-02,Bishan,Cantonment
0.598,0.571,81.94,1.0,2,0,0,0,0,0,Deluxe,Central,6-Month,1800.0,0,2021-02,Kallang,Hmlet
0.169,0.857,74.55,0.977,2,0,0,0,0,0,Twin-Share,Central,6-Month,870.0,0,2021-02,Queenstown,The Assembly Place
3.995,0.571,58.61,0.964,2,0,0,0,0,0,Twin-Share,West,3-Month,500.0,0,2021-02,Jurong East,Cantonment
0.14,1.0,66.25,1.0,2,0,0,0,0,0,Single,West,6-Month,970.0,0,2021-02,Clementi,Coliwoo
0.251,0.286,48.63,0.871,2,0,0,0,0,0,Master,North,3-Month,1150.0,0,2021-02,Yishun,Cantonment
0.496,0.429,45.35,0.92,2,0,0,0,0,0,Single,North,12-Month,840.0,0,2021-02,Yishun,Lyf
0.339,0.571,84.86,0.917,2,0,0,0,0,0,Twin-Share,Central,6-Month,850.0,0,2021-02,Outram,Cove
0.418,0.857,59.21,0.845,2,0,0,0,0,0,Suite,East,12-Month,1590.0,0,2021-02,Paya Lebar,Hmlet
0.23,0.857,66.98,0.838,2,0,0,0,0,0,Deluxe,East,3-Month,1900.0,0,2021-02,Paya Lebar,Lyf
0.235,0.429,67.88,0.707,2,0,0,0,0,0,Suite,Central,3-Month,1930.0,0,2021-02,Toa Payoh,Lyf
0.767,0.429,65.21,1.0,2,0,0,0,0,0,Master,East,Monthly,1380.0,0,2021-02,Paya Lebar,Figment
0.297,0.571,45.74,0.92,2,0,0,0,0,0,Single,North,6-Month,900.0,0,2021-02,Woodlands,Hmlet
1.418,1.0,51.75,1.0,2,0,0,0,0,0,Single,North-East,3-Month,860.0,0,2021-02,Sengkang,Hmlet
0.111,0.571,36.55,0.938,2,0,0,0,0,0,Single,North,6-Month,980.0,0,2021-02,Woodlands,The Assembly Place
0.591,0.571,40.28,0.908,2,0,0,0,0,0,Single,North,12-Month,970.0,1,2021-02,Woodlands,Coliwoo
0.403,0.286,85.89,0.93,2,0,0,0,0,0,Single,Central,Monthly,1060.0,0,2021-02,Rochor,Hmlet
0.556,1.0,66.77,0.845,2,0,0,0,0,0,Suite,West,3-Month,1780.0,0,2021-02,Clementi,Coliwoo
0.964,1.0,79.79,0.962,2,0,0,0,0,0,Master,Central,12-Month,1300.0,0,2021-02,Novena,Cantonment
3.121,0.714,52.67,0.921,2,0,0,0,0,0,Deluxe,West,Monthly,1610.0,0,2021-02,Jurong East,Bonztel
0.176,0.429,73.69,0.999,2,0,0,0,0,0,Master,Central,12-Month,1410.0,0,2021-02,Kallang,Coliwoo
0.603,0.857,48.25,0.796,2,0,0,0,0,0,Studio,North-East,12-Month,1460.0,1,2021-02,Ang Mo Kio,The Assembly Place
2.702,0.857,67.99,1.0,2,0,0,0,0,0,Master,West,Monthly,1030.0,0,2021-02,Jurong East,The Assembly Place
3.792,0.286,52.9,1.0,2,0,0,0,0,0,Suite,West,12-Month,1070.0,0,2021-02,Jurong East,Coliwoo
0.76,0.714,79.92,0.901,2,0,0,0,0,0,Master,Central,3-Month,1440.0,0,2021-02,Kallang,Lyf
0.666,0.857,44.92,0.832,2,0,0,0,0,0,Master,North,12-Month,1140.0,0,2021-02,Yishun,Hmlet
0.849,0.286,76.13,0.806,2,0,0,0,0,0,Studio,Central,6-Month,1490.0,0,2021-02,Novena,Bonztel
0.28,0.857,71.79,0.975,2,0,0,0,0,0,Single,West,6-Month,980.0,0,2021-02,Clementi,Figment
1.812,0.286,61.65,0.915,2,0,0,0,0,0,Master,Central,6-Month,1250.0,0,2021-02,Bishan,Cantonment
0.086,0.429,47.41,0.837,2,0,0,0,0,0,Master,North-East,3-Month,1350.0,0,2021-02,Punggol,Cantonment
0.418,0.429,55.52,0.877,2,0,0,0,0,0,Twin-Share,North-East,Monthly,800.0,0,2021-02,Punggol,Bonztel
0.265,0.286,44.16,0.932,2,0,0,0,0,0,Master,North-East,12-Month,1150.0,0,2021-02,Punggol,Cove
0.186,0.429,53.15,0.858,2,0,0,0,0,0,Suite,North-East,Monthly,1750.0,0,2021-02,Ang Mo Kio,Cantonment
0.426,0.429,59.09,0.933,2,0,0,0,0,0,Master,North-East,3-Month,1180.0,0,2021-02,Ang Mo Kio,Coliwoo
0.753,0.571,76.05,0.957,2,0,0,0,0,0,Master,Central,6-Month,1350.0,0,2021-02,Novena,Figment
0.417,0.857,55.77,0.61,2,0,0,0,0,0,Deluxe,East,6-Month,1960.0,0,2021-02,Tampines,Bonztel
0.684,0.429,78.1,0.897,2,0,0,0,0,0,Deluxe,West,3-Month,1730.0,0,2021-02,Buona Vista,Figment
0.405,0.571,74.44,0.756,2,0,0,0,0,0,Deluxe,Central,12-Month,1920.0,1,2021-02,Kallang,Lyf
0.323,1.0,77.58,0.999,2,0,0,0,0,0,Studio,Central,6-Month,1710.0,0,2021-02,Outram,Coliwoo
0.426,0.571,70.37,0.968,2,0,0,0,0,0,Twin-Share,Central,12-Month,790.0,0,2021-02,Toa Payoh,Lyf
0.19,0.571,65.3,0.973,2,0,0,0,0,0,Twin-Share,North-East,12-Month,740.0,0,2021-02,Serangoon,Hmlet
0.245,1.0,93.19,0.969,2,0,0,0,0,0,Master,Central,3-Month,1690.0,0,2021-02,Rochor,Figment
0.364,0.857,49.2,1.0,2,0,0,0,0,0,Studio,North,12-Month,1320.0,0,2021-02,Woodlands,Hmlet
0.237,1.0,69.08,0.698,2,0,0,0,0,0,Studio,North-East,Monthly,1740.0,0,2021-02,Serangoon,Figment
3.447,1.0,62.52,0.983,2,0,0,0,0,0,Twin-Share,West,3-Month,590.0,0,2021-02,Jurong East,Cantonment
0.293,0.857,73.07,0.727,2,0,0,0,0,0,Studio,Central,Monthly,1750.0,0,2021-02,Outram,The Assembly Place
1.473,0.857,61.06,0.933,2,0,0,0,0,0,Twin-Share,North-East,3-Month,720.0,0,2021-02,Sengkang,Hmlet
0.393,0.571,47.57,0.791,2,0,0,0,0,0,Studio,North,Monthly,1610.0,0,2021-02,Yishun,Cantonment
0.583,0.571,53.25,0.671,2,0,0,0,0,0,Suite,North-East,Monthly,1970.0,0,2021-02,Punggol,Cantonment
2.072,0.857,64.61,0.86,2,0,0,0,0,0,Single,Central,6-Month,920.0,0,2021-02,Bishan,The Assembly Place
0.4,0.286,70.78,0.935,2,0,0,0,0,0,Deluxe,Central,12-Month,2040.0,0,2021-02,Kallang,Hmlet
1.862,0.286,64.0,0.829,2,0,0,0,0,0,Studio,Central,Monthly,1640.0,0,2021-02,Bishan,Hmlet
2.325,0.857,62.84,0.721,2,0,0,0,0,0,Deluxe,West,Monthly,1520.0,0,2021-02,Jurong East,Bonztel
0.67,0.429,81.88,1.0,2,0,0,0,0,0,Twin-Share,Central,12-Month,820.0,0,2021-02,Kallang,Cove
1.869,1.0,38.95,0.896,2,0,0,0,0,0,Suite,North-East,12-Month,1480.0,0,2021-02,Sengkang,Cove
0.768,0.286,70.57,0.916,2,0,0,0,0,0,Master,Central,3-Month,1450.0,0,2021-02,Queenstown,The Assembly Place
0.769,0.714,74.77,0.786,2,0,0,0,0,0,Deluxe,Central,6-Month,2190.0,0,2021-02,Kallang,Cantonment
0.42,0.714,47.94,1.0,2,0,0,0,0,0,Single,North,Monthly,990.0,0,2021-02,Woodlands,Hmlet
0.678,0.714,80.07,0.888,2,0,0,0,0,0,Single,Central,3-Month,1100.0,0,2021-02,Queenstown,Hmlet
0.108,0.429,78.81,0.883,2,0,0,0,0,0,Studio,Central,3-Month,1840.0,0,2021-02,Rochor,Cove
0.834,0.571,79.58,0.713,2,0,0,0,0,0,Deluxe,Central,3-Month,2210.0,0,2021-02,Kallang,Coliwoo
0.32,1.0,90.54,1.0,2,0,0,0,0,0,Twin-Share,Central,Monthly,880.0,1,2021-02,Rochor,Figment
0.236,1.0,44.05,0.755,2,0,0,0,0,0,Studio,North,12-Month,1410.0,1,2021-02,Woodlands,Lyf
0.668,0.286,85.92,0.967,2,0,0,0,0,0,Single,Central,12-Month,1010.0,0,2021-02,Rochor,The Assembly Place
0.258,1.0,83.17,0.947,2,0,0,0,0,0,Master,Central,Monthly,1510.0,1,2021-02,Kallang,The Assembly Place
0.193,0.286,64.69,0.846,2,0,0,0,0,0,Deluxe,East,12-Month,1760.0,0,2021-02,Paya Lebar,Cantonment
2.952,0.429,58.61,0.885,2,0,0,0,0,0,Master,West,Monthly,1060.0,0,2021-02,Jurong East,Bonztel
1.935,0.286,55.61,0.848,2,0,0,0,0,0,Deluxe,Central,12-Month,1600.0,0,2021-02,Bishan,Hmlet
2.016,0.714,52.21,0.949,2,0,0,0,0,0,Studio,North-East,12-Month,1210.0,0,2021-02,Sengkang,The Assembly Place
1.048,0.429,55.73,0.99,2,0,0,0,0,0,Deluxe,East,6-Month,1790.0,0,2021-02,Tampines,Figment
0.882,0.571,81.4,0.948,2,0,0,0,0,0,Single,Central,Monthly,1170.0,0,2021-02,Novena,Lyf
1.758,0.857,64.31,0.902,2,0,0,0,0,0,Single,Central,Monthly,1210.0,0,2021-02,Bishan,Cantonment
0.282,1.0,51.05,0.984,2,0,0,0,0,0,Single,East,3-Month,1070.0,0,2021-02,Bedok,Hmlet
0.372,0.857,57.09,0.9,2,0,0,0,0,0,Suite,West,12-Month,1480.0,0,2021-02,Clementi,Hmlet
0.279,1.0,82.11,0.961,2,0,0,0,0,0,Twin-Share,Central,6-Month,880.0,0,2021-02,Rochor,Figment
0.021,0.286,74.9,0.715,2,0,0,0,0,0,Deluxe,Central,Monthly,2550.0,1,2021-02,Geylang,Coliwoo
0.514,0.571,70.41,0.872,2,0,0,0,0,0,Master,Central,12-Month,1440.0,0,2021-02,Queenstown,Bonztel
0.273,0.286,52.29,0.742,2,0,0,0,0,0,Suite,East,Monthly,1790.0,0,2021-02,Tampines,Lyf
0.44,0.857,72.12,0.975,2,0,0,0,0,0,Single,East,6-Month,1060.0,0,2021-02,Paya Lebar,Lyf
1.743,0.429,44.82,0.756,3,0,0,0,0,0,Studio,North-East,Monthly,1280.0,1,2021-03,Sengkang,Hmlet
2.907,0.857,49.5,0.933,3,0,0,0,0,0,Deluxe,West,6-Month,1440.0,0,2021-03,Jurong East,The Assembly Place
3.636,1.0,63.45,1.0,3,0,0,0,0,0,Twin-Share,West,6-Month,570.0,0,2021-03,Jurong East,Cove
0.183,1.0,80.36,0.949,3,0,0,0,0,0,Master,Central,6-Month,1600.0,0,2021-03,Geylang,Hmlet
0.392,0.429,57.44,0.864,3,0,0,0,0,0,Suite,East,12-Month,1560.0,0,2021-03,Tampines,Bonztel
3.455,1.0,61.07,0.827,3,0,0,0,0,0,Single,West,Monthly,780.0,0,2021-03,Jurong East,Bonztel
1.704,0.714,55.54,1.0,3,0,0,0,0,0,Single,North-East,12-Month,890.0,0,2021-03,Sengkang,Hmlet
3.011,0.571,52.25,0.833,3,0,0,0,0,0,Deluxe,West,3-Month,1580.0,0,2021-03,Jurong East,Cantonment
0.779,0.714,52.81,0.673,3,0,0,0,0,0,Suite,North-East,6-Month,1820.0,0,2021-03,Ang Mo Kio,Hmlet
0.259,0.429,69.83,0.824,3,0,0,0,0,0,Studio,Central,3-Month,1740.0,1,2021-03,Geylang,Hmlet
0.909,0.286,69.87,0.463,3,0,0,0,0,0,Deluxe,Central,12-Month,2110.0,1,2021-03,Toa Payoh,The Assembly Place
0.843,0.286,59.0,1.0,3,0,0,0,0,0,Master,North-East,6-Month,1260.0,0,2021-03,Serangoon,Cantonment
0.333,1.0,76.13,0.91,3,0,0,0,0,0,Master,Central,6-Month,1600.0,0,2021-03,Novena,The Assembly Place
0.773,0.429,41.56,0.952,3,0,0,0,0,0,Master,North,Monthly,1290.0,0,2021-03,Woodlands,Coliwoo
0.228,0.714,85.61,0.92,3,0,0,0,0,0,Suite,Central,12-Month,2090.0,0,2021-03,Novena,Bonztel
0.38,1.0,68.78,0.801,3,0,0,0,0,0,Studio,Central,3-Month,1820.0,0,2021-03,Queenstown,The Assembly Place
0.717,1.0,77.97,1.0,3,0,0,0,0,0,Twin-Share,Central,12-Month,770.0,0,2021-03,Outram,The Assembly Place
0.641,0.857,45.03,0.87,3,0,0,0,0,0,Master,North-East,Monthly,1400.0,0,2021-03,Punggol,Cantonment
2.044,0.714,60.05,0.52,3,0,0,0,0,0,Deluxe,Central,6-Month,2020.0,1,2021-03,Bishan,Bonztel
0.357,0.429,74.65,0.749,3,0,0,0,0,0,Suite,Central,6-Month,2110.0,0,2021-03,Novena,Cove
0.197,0.571,59.84,0.921,3,0,0,0,0,0,Suite,Central,6-Month,2010.0,0,2021-03,Geylang,Lyf
0.34,0.857,55.44,0.947,3,0,0,0,0,0,Single,North-East,6-Month,1110.0,0,2021-03,Ang Mo Kio,Bonztel
0.137,0.571,42.99,1.0,3,0,0,0,0,0,Twin-Share,North,3-Month,820.0,0,2021-03,Yishun,Hmlet
0.392,0.571,61.22,0.947,3,0,0,0,0,0,Suite,North-East,6-Month,1510.0,0,2021-03,Ang Mo Kio,Coliwoo
0.1,0.286,70.94,0.943,3,0,0,0,0,0,Twin-Share,Central,3-Month,900.0,0,2021-03,Geylang,Cove
0.288,0.571,80.29,0.729,3,0,0,0,0,0,Master,Central,3-Month,1580.0,1,2021-03,Outram,Cantonment
0.309,0.286,62.78,0.703,3,0,0,0,0,0,Suite,West,6-Month,1450.0,1,2021-03,Buona Vista,Hmlet
0.196,0.571,75.54,0.795,3,0,0,0,0,0,Studio,Central,12-Month,1770.0,1,2021-03,Queenstown,The Assembly Place
0.389,0.857,63.53,0.989,3,0,0,0,0,0,Twin-Share,Central,6-Month,900.0,0,2021-03,Toa Payoh,Cove
0.581,0.857,54.53,0.875,3,0,0,0,0,0,Single,North-East,Monthly,1050.0,0,2021-03,Ang Mo Kio,Figment
1.246,0.857,59.39,0.873,3,0,0,0,0,0,Single,North-East,12-Month,860.0,0,2021-03,Sengkang,Hmlet
0.341,0.857,67.31,0.997,3,0,0,0,0,0,Master,West,6-Month,1180.0,0,2021-03,Buona Vista,Lyf
0.475,1.0,66.02,0.951,3,0,0,0,0,0,Twin-Share,Central,6-Month,910.0,0,2021-03,Geylang,Coliwoo
0.439,0.571,84.47,0.931,3,0,0,0,0,0,Studio,Central,3-Month,1920.0,0,2021-03,Rochor,Hmlet
0.454,1.0,66.51,0.544,3,0,0,0,0,0,Studio,Central,6-Month,1930.0,0,2021-03,Kallang,Hmlet
0.661,0.286,67.78,0.875,3,0,0,0,0,0,Master,Central,3-Month,1330.0,0,2021-03,Kallang,Coliwoo
3.211,0.714,65.31,0.881,3,0,0,0,0,0,Master,West,6-Month,1030.0,0,2021-03,Jurong East,Coliwoo
0.438,1.0,80.28,0.732,3,0,0,0,0,0,Suite,Central,Monthly,2090.0,0,2021-03,Novena,Cantonment
0.318,0.286,45.78,0.835,3,0,0,0,0,0,Studio,North-East,Monthly,1620.0,0,2021-03,Punggol,Figment
0.706,0.714,49.36,0.894,3,0,0,0,0,0,Twin-Share,East,6-Month,750.0,1,2021-03,Bedok,Lyf
0.47,0.429,70.7,0.792,3,0,0,0,0,0,Deluxe,Central,12-Month,1880.0,0,2021-03,Toa Payoh,The Assembly Place
0.351,0.857,71.0,0.666,3,0,0,0,0,0,Deluxe,Central,Monthly,2050.0,1,2021-03,Novena,The Assembly Place
3.035,0.429,55.5,0.965,3,0,0,0,0,0,Suite,West,12-Month,1240.0,0,2021-03,Jurong East,Bonztel
2.953,0.857,50.12,0.929,3,0,0,0,0,0,Studio,West,6-Month,1100.0,0,2021-03,Jurong East,Coliwoo
0.406,0.429,47.6,0.856,3,0,0,0,0,0,Studio,North-East,12-Month,1500.0,0,2021-03,Punggol,Cove
0.764,0.857,42.88,0.773,3,0,0,0,0,0,Studio,North-East,12-Month,1510.0,0,2021-03,Ang Mo Kio,Lyf
0.087,0.857,57.45,0.96,3,0,0,0,0,0,Single,East,6-Month,990.0,1,2021-03,Tampines,Lyf
0.495,0.429,67.21,0.713,3,0,0,0,0,0,Deluxe,Central,6-Month,2060.0,1,2021-03,Toa Payoh,The Assembly Place
