listing_id,month,year,month_num,operator,planning_area,zone,room_type,lease_type,lat,lon,mrt_dist_km,amenity_count,amenity_score,neighborhood_demand,lag_occupancy,rental_price_sgd,is_vacant,d_covid_phase2,d_absd_hike_2021,d_ahd_tightening,d_ura_guidelines,d_rental_surge
1022,2021-01,2021,1,Cantonment,Punggol,North-East,Deluxe,12-Month,1.40468,103.90504,0.293,4,0.571,52.83,0.919,1770.0,0,0,0,0,0,0
1023,2021-01,2021,1,Cantonment,Buona Vista,West,Single,Monthly,1.30729,103.78865,0.128,5,0.714,74.72,0.931,940.0,0,0,0,0,0,0
1024,2021-01,2021,1,Coliwoo,Novena,Central,Deluxe,3-Month,1.32682,103.84444,0.76,7,1.0,82.39,0.543,2150.0,0,0,0,0,0,0
1025,2021-01,2021,1,Cove,Yishun,North,Twin-Share,12-Month,1.42821,103.84356,0.911,6,0.857,46.98,0.904,580.0,0,0,0,0,0,0
1026,2021-01,2021,1,Bonztel,Sengkang,North-East,Studio,12-Month,1.39137,103.89617,1.571,7,1.0,50.88,0.871,1330.0,1,0,0,0,0,0
1027,2021-01,2021,1,Hmlet,Kallang,Central,Twin-Share,3-Month,1.30864,103.87433,0.3,6,0.857,71.95,1.0,830.0,0,0,0,0,0,0
1028,2021-01,2021,1,Lyf,Woodlands,North,Twin-Share,12-Month,1.43396,103.79077,0.601,4,0.571,39.87,0.869,600.0,0,0,0,0,0,0
1029,2021-01,2021,1,Lyf,Bishan,Central,Single,3-Month,1.34725,103.84667,1.516,6,0.857,56.08,0.99,1040.0,0,0,0,0,0,0
1030,2021-01,2021,1,Bonztel,Outram,Central,Twin-Share,Monthly,1.27462,103.8462,0.846,7,1.0,75.43,0.953,860.0,0,0,0,0,0,0
1031,2021-01,2021,1,Hmlet,Queenstown,Central,Studio,Monthly,1.29526,103.78046,0.638,6,0.857,81.8,0.884,1790.0,0,0,0,0,0,0
1032,2021-01,2021,1,The Assembly Place,Outram,Central,Single,3-Month,1.27944,103.83825,0.218,4,0.571,86.82,0.942,1170.0,0,0,0,0,0,0
1033,2021-01,2021,1,Lyf,Novena,Central,Suite,3-Month,1.31801,103.84656,0.36,5,0.714,73.71,0.486,2070.0,1,0,0,0,0,0
1034,2021-01,2021,1,Lyf,Paya Lebar,East,Single,12-Month,1.31735,103.8955,0.28,7,1.0,66.92,0.825,950.0,0,0,0,0,0,0
1035,2021-01,2021,1,Bonztel,Buona Vista,West,Studio,3-Month,1.30375,103.79049,0.402,7,1.0,70.22,0.956,1520.0,0,0,0,0,0,0
1036,2021-01,2021,1,Lyf,Woodlands,North,Suite,Monthly,1.43352,103.78628,0.433,7,1.0,42.9,0.741,1750.0,0,0,0,0,0,0
1037,2021-01,2021,1,Figment,Buona Vista,West,Studio,3-Month,1.31022,103.79443,0.609,3,0.429,68.35,0.889,1350.0,0,0,0,0,0,0
1038,2021-01,2021,1,Coliwoo,Paya Lebar,East,Deluxe,6-Month,1.31585,103.89933,0.733,4,0.571,68.23,0.675,1940.0,0,0,0,0,0,0
1039,2021-01,2021,1,Cove,Kallang,Central,Single,6-Month,1.30735,103.8699,0.376,7,1.0,72.57,0.942,1110.0,0,0,0,0,0,0
1040,2021-01,2021,1,Lyf,Clementi,West,Single,12-Month,1.31343,103.76745,0.345,5,0.714,54.79,0.946,920.0,0,0,0,0,0,0
1041,2021-01,2021,1,Figment,Geylang,Central,Deluxe,3-Month,1.32413,103.88598,0.839,4,0.571,71.9,0.544,2130.0,0,0,0,0,0,0
1042,2021-01,2021,1,Lyf,Bishan,Central,Single,Monthly,1.35656,103.84688,1.512,2,0.286,58.87,0.807,940.0,0,0,0,0,0,0
1043,2021-01,2021,1,Cantonment,Bishan,Central,Single,3-Month,1.35013,103.84731,1.813,5,0.714,60.64,0.793,940.0,0,0,0,0,0,0
1044,2021-01,2021,1,Hmlet,Outram,Central,Studio,3-Month,1.27628,103.83656,0.526,4,0.571,78.29,0.773,1710.0,0,0,0,0,0,0
1045,2021-01,2021,1,Cove,Paya Lebar,East,Deluxe,3-Month,1.31797,103.89325,0.041,7,1.0,67.22,0.834,1960.0,0,0,0,0,0,0
1046,2021-01,2021,1,Hmlet,Sengkang,North-East,Deluxe,6-Month,1.39486,103.89417,1.375,2,0.286,43.28,0.696,1790.0,0,0,0,0,0,0
1047,2021-01,2021,1,Coliwoo,Kallang,Central,Master,12-Month,1.30694,103.8745,0.439,4,0.571,74.9,0.962,1260.0,0,0,0,0,0,0
1048,2021-01,2021,1,Hmlet,Jurong East,West,Twin-Share,Monthly,1.33681,103.74491,3.273,6,0.857,52.3,0.992,530.0,0,0,0,0,0,0
1049,2021-01,2021,1,Bonztel,Clementi,West,Studio,6-Month,1.31928,103.76404,0.463,6,0.857,60.35,0.851,1480.0,0,0,0,0,0,0
1050,2021-01,2021,1,Bonztel,Outram,Central,Single,6-Month,1.28365,103.84308,0.58,2,0.286,86.0,0.92,1140.0,0,0,0,0,0,0
1051,2021-01,2021,1,Lyf,Sengkang,North-East,Suite,12-Month,1.38888,103.8938,1.939,3,0.429,45.24,1.0,1320.0,0,0,0,0,0,0
1052,2021-01,2021,1,Bonztel,Outram,Central,Deluxe,Monthly,1.27782,103.84005,0.166,2,0.286,84.75,0.842,2220.0,1,0,0,0,0,0
1053,2021-01,2021,1,Bonztel,Queenstown,Central,Studio,Monthly,1.29643,103.79053,0.551,3,0.429,67.84,0.667,1770.0,0,0,0,0,0,0
1054,2021-01,2021,1,Lyf,Tampines,East,Deluxe,6-Month,1.35115,103.94931,0.521,4,0.571,59.38,1.0,1880.0,0,0,0,0,0,0
1055,2021-01,2021,1,Figment,Punggol,North-East,Deluxe,3-Month,1.40402,103.90264,0.016,6,0.857,54.62,0.896,2110.0,0,0,0,0,0,0
1056,2021-01,2021,1,Coliwoo,Punggol,North-East,Suite,6-Month,1.40145,103.89969,0.421,5,0.714,53.56,0.893,1550.0,0,0,0,0,0,0
1057,2021-01,2021,1,Hmlet,Woodlands,North,Master,12-Month,1.43813,103.79274,0.688,7,1.0,42.41,0.817,1190.0,0,0,0,0,0,0
1058,2021-01,2021,1,Figment,Buona Vista,West,Deluxe,3-Month,1.30908,103.79344,0.45,4,0.571,65.83,0.882,1780.0,0,0,0,0,0,0
1059,2021-01,2021,1,The Assembly Place,Outram,Central,Twin-Share,Monthly,1.27849,103.84235,0.256,7,1.0,84.33,1.0,920.0,0,0,0,0,0,0
1060,2021-01,2021,1,Cove,Punggol,North-East,Twin-Share,Monthly,1.40342,103.90676,0.478,2,0.286,41.48,0.95,760.0,0,0,0,0,0,0
1061,2021-01,2021,1,Cove,Sengkang,North-East,Twin-Share,12-Month,1.39477,103.89128,1.616,4,0.571,53.83,1.0,580.0,0,0,0,0,0,0
1062,2021-01,2021,1,The Assembly Place,Woodlands,North,Twin-Share,6-Month,1.44357,103.78564,0.694,3,0.429,38.17,0.923,690.0,0,0,0,0,0,0
1063,2021-01,2021,1,The Assembly Place,Ang Mo Kio,North-East,Master,3-Month,1.37005,103.84803,0.164,6,0.857,47.83,1.0,1310.0,0,0,0,0,0,0
1064,2021-01,2021,1,Hmlet,Ang Mo Kio,North-East,Master,6-Month,1.3678,103.85014,0.244,7,1.0,53.1,0.955,1210.0,1,0,0,0,0,0
1065,2021-01,2021,1,Cove,Bishan,Central,Single,3-Month,1.3543,103.84841,1.739,7,1.0,54.42,0.832,1080.0,0,0,0,0,0,0
1066,2021-01,2021,1,The Assembly Place,Tampines,East,Suite,12-Month,1.35555,103.94204,0.435,7,1.0,56.21,0.922,1700.0,0,0,0,0,0,0
1067,2021-01,2021,1,Cantonment,Yishun,North,Single,6-Month,1.42978,103.83153,0.439,2,0.286,43.77,0.815,810.0,0,0,0,0,0,0
1068,2021-01,2021,1,Hmlet,Sengkang,North-East,Suite,12-Month,1.38878,103.89559,1.859,7,1.0,59.62,0.961,1470.0,0,0,0,0,0,0
1069,2021-01,2021,1,Cove,Punggol,North-East,Deluxe,12-Month,1.40819,103.89857,0.638,3,0.429,49.94,0.812,1550.0,0,0,0,0,0,0
1070,2021-01,2021,1,Coliwoo,Rochor,Central,Master,Monthly,1.30295,103.85242,0.468,5,0.714,88.99,0.762,1550.0,1,0,0,0,0,0
1071,2021-01,2021,1,Bonztel,Outram,Central,Studio,6-Month,1.28016,103.84555,0.602,3,0.429,84.67,1.0,1540.0,0,0,0,0,0,0
1072,2021-01,2021,1,Figment,Tampines,East,Master,12-Month,1.34812,103.94514,0.543,2,0.286,50.38,0.955,1200.0,0,0,0,0,0,0
1073,2021-01,2021,1,Coliwoo,Yishun,North,Single,6-Month,1.42704,103.83554,0.218,3,0.429,57.34,0.978,790.0,0,0,0,0,0,0
1074,2021-01,2021,1,Hmlet,Outram,Central,Single,3-Month,1.28647,103.83839,0.822,4,0.571,82.89,0.99,1040.0,0,0,0,0,0,0
1075,2021-01,2021,1,The Assembly Place,Buona Vista,West,Twin-Share,Monthly,1.30876,103.79454,0.552,6,0.857,69.69,1.0,730.0,0,0,0,0,0,0
1076,2021-01,2021,1,Lyf,Paya Lebar,East,Suite,3-Month,1.31933,103.8961,0.39,3,0.429,64.63,0.539,1750.0,0,0,0,0,0,0
1077,2021-01,2021,1,Bonztel,Rochor,Central,Studio,12-Month,1.30646,103.85709,0.209,6,0.857,90.26,0.979,1540.0,0,0,0,0,0,0
1078,2021-01,2021,1,Coliwoo,Paya Lebar,East,Single,6-Month,1.32019,103.88637,0.594,4,0.571,54.55,0.927,1000.0,0,0,0,0,0,0
1079,2021-01,2021,1,Cantonment,Ang Mo Kio,North-East,Deluxe,Monthly,1.37502,103.8494,0.569,4,0.571,52.56,0.895,2030.0,0,0,0,0,0,0
1080,2021-01,2021,1,The Assembly Place,Sengkang,North-East,Studio,3-Month,1.39161,103.89417,1.66,3,0.429,60.21,0.964,1320.0,0,0,0,0,0,0
1081,2021-02,2021,2,The Assembly Place,Clementi,West,Suite,12-Month,1.31439,103.76196,0.339,6,0.857,54.91,0.565,1850.0,0,0,0,0,0,0
1082,2021-02,2021,2,The Assembly Place,Novena,Central,Studio,3-Month,1.32399,103.85,0.801,3,0.429,74.13,0.901,1550.0,0,0,0,0,0,0
1083,2021-02,2021,2,Bonztel,Paya Lebar,East,Deluxe,6-Month,1.31824,103.90093,0.884,2,0.286,70.34,0.921,1700.0,0,0,0,0,0,0
1084,2021-02,2021,2,The Assembly Place,Tampines,East,Twin-Share,3-Month,1.35661,103.94702,0.46,3,0.429,54.86,0.98,730.0,0,0,0,0,0,0
1085,2021-02,2021,2,Figment,Clementi,West,Suite,Monthly,1.31204,103.76271,0.428,6,0.857,66.99,0.828,1690.0,0,0,0,0,0,0
1086,2021-02,2021,2,Hmlet,Yishun,North,Suite,12-Month,1.42837,103.83256,0.324,3,0.429,45.85,0.691,1590.0,0,0,0,0,0,0
1087,2021-02,2021,2,Lyf,Woodlands,North,Single,6-Month,1.43662,103.78209,0.509,4,0.571,47.36,0.95,820.0,0,0,0,0,0,0
1088,2021-02,2021,2,The Assembly Place,Serangoon,North-East,Studio,6-Month,1.35448,103.86943,0.313,2,0.286,61.66,0.58,1370.0,0,0,0,0,0,0
1089,2021-02,2021,2,Cantonment,Bishan,Central,Studio,12-Month,1.34955,103.85022,1.718,4,0.571,59.76,0.904,1250.0,0,0,0,0,0,0
1090,2021-02,2021,2,Hmlet,Kallang,Central,Deluxe,6-Month,1.30505,103.8741,0.598,4,0.571,81.94,1.0,1800.0,0,0,0,0,0,0
1091,2021-02,2021,2,The Assembly Place,Queenstown,Central,Twin-Share,6-Month,1.29317,103.78499,0.169,6,0.857,74.55,0.977,870.0,0,0,0,0,0,0
1092,2021-02,2021,2,Cantonment,Jurong East,West,Twin-Share,3-Month,1.33667,103.73608,3.995,4,0.571,58.61,0.964,500.0,0,0,0,0,0,0
1093,2021-02,2021,2,Coliwoo,Clementi,West,Single,6-Month,1.31415,103.76421,0.14,7,1.0,66.25,1.0,970.0,0,0,0,0,0,0
1094,2021-02,2021,2,Cantonment,Yishun,North,Master,3-Month,1.42969,103.83325,0.251,2,0.286,48.63,0.871,1150.0,0,0,0,0,0,0
1095,2021-02,2021,2,Lyf,Yishun,North,Single,12-Month,1.42528,103.83295,0.496,3,0.429,45.35,0.92,840.0,0,0,0,0,0,0
1096,2021-02,2021,2,Cove,Outram,Central,Twin-Share,6-Month,1.28215,103.83912,0.339,4,0.571,84.86,0.917,850.0,0,0,0,0,0,0
1097,2021-02,2021,2,Hmlet,Paya Lebar,East,Suite,12-Month,1.31862,103.88787,0.418,6,0.857,59.21,0.845,1590.0,0,0,0,0,0,0
1098,2021-02,2021,2,Lyf,Paya Lebar,East,Deluxe,3-Month,1.31859,103.89487,0.23,6,0.857,66.98,0.838,1900.0,0,0,0,0,0,0
1099,2021-02,2021,2,Lyf,Toa Payoh,Central,Suite,3-Month,1.33269,103.85188,0.235,3,0.429,67.88,0.707,1930.0,0,0,0,0,0,0
1100,2021-02,2021,2,Figment,Paya Lebar,East,Master,Monthly,1.3174,103.89989,0.767,3,0.429,65.21,1.0,1380.0,0,0,0,0,0,0
1101,2021-02,2021,2,Hmlet,Woodlands,North,Single,6-Month,1.43895,103.78442,0.297,4,0.571,45.74,0.92,900.0,0,0,0,0,0,0
1102,2021-02,2021,2,Hmlet,Sengkang,North-East,Single,3-Month,1.39302,103.896,1.418,7,1.0,51.75,1.0,860.0,0,0,0,0,0,0
1103,2021-02,2021,2,The Assembly Place,Woodlands,North,Single,6-Month,1.43811,103.7873,0.111,4,0.571,36.55,0.938,980.0,0,0,0,0,0,0
1104,2021-02,2021,2,Coliwoo,Woodlands,North,Single,12-Month,1.4373,103.79191,0.591,4,0.571,40.28,0.908,970.0,1,0,0,0,0,0
1105,2021-02,2021,2,Hmlet,Rochor,Central,Single,Monthly,1.30679,103.85923,0.403,2,0.286,85.89,0.93,1060.0,0,0,0,0,0,0
1106,2021-02,2021,2,Coliwoo,Clementi,West,Suite,3-Month,1.31906,103.76809,0.556,7,1.0,66.77,0.845,1780.0,0,0,0,0,0,0
1107,2021-02,2021,2,Cantonment,Novena,Central,Master,12-Month,1.31625,103.85182,0.964,7,1.0,79.79,0.962,1300.0,0,0,0,0,0,0
1108,2021-02,2021,2,Bonztel,Jurong East,West,Deluxe,Monthly,1.33497,103.74497,3.121,5,0.714,52.67,0.921,1610.0,0,0,0,0,0,0
1109,2021-02,2021,2,Coliwoo,Kallang,Central,Master,12-Month,1.31067,103.87056,0.176,3,0.429,73.69,0.999,1410.0,0,0,0,0,0,0
1110,2021-02,2021,2,The Assembly Place,Ang Mo Kio,North-East,Studio,12-Month,1.373,103.84504,0.603,6,0.857,48.25,0.796,1460.0,1,0,0,0,0,0
1111,2021-02,2021,2,The Assembly Place,Jurong East,West,Master,Monthly,1.33145,103.74683,2.702,6,0.857,67.99,1.0,1030.0,0,0,0,0,0,0
1112,2021-02,2021,2,Coliwoo,Jurong East,West,Suite,12-Month,1.33386,103.73634,3.792,2,0.286,52.9,1.0,1070.0,0,0,0,0,0,0
1113,2021-02,2021,2,Lyf,Kallang,Central,Master,3-Month,1.3042,103.86838,0.76,5,0.714,79.92,0.901,1440.0,0,0,0,0,0,0
1114,2021-02,2021,2,Hmlet,Yishun,North,Master,12-Month,1.4325,103.84026,0.666,6,0.857,44.92,0.832,1140.0,0,0,0,0,0,0
1115,2021-02,2021,2,Bonztel,Novena,Central,Studio,6-Month,1.32751,103.84541,0.849,2,0.286,76.13,0.806,1490.0,0,0,0,0,0,0
1116,2021-02,2021,2,Figment,Clementi,West,Single,6-Month,1.31354,103.7668,0.28,6,0.857,71.79,0.975,980.0,0,0,0,0,0,0
1117,2021-02,2021,2,Cantonment,Bishan,Central,Master,6-Month,1.35006,103.84704,1.812,2,0.286,61.65,0.915,1250.0,0,0,0,0,0,0
1118,2021-02,2021,2,Cantonment,Punggol,North-East,Master,3-Month,1.40329,103.90281,0.086,3,0.429,47.41,0.837,1350.0,0,0,0,0,0,0
1119,2021-02,2021,2,Bonztel,Punggol,North-East,Twin-Share,Monthly,1.40762,103.90353,0.418,3,0.429,55.52,0.877,800.0,0,0,0,0,0,0
1120,2021-02,2021,2,Cove,Punggol,North-East,Master,12-Month,1.40209,103.90108,0.265,2,0.286,44.16,0.932,1150.0,0,0,0,0,0,0
1121,2021-02,2021,2,Cantonment,Ang Mo Kio,North-East,Suite,Monthly,1.36978,103.85117,0.186,3,0.429,53.15,0.858,1750.0,0,0,0,0,0,0
1122,2021-02,2021,2,Coliwoo,Ang Mo Kio,North-East,Master,3-Month,1.36999,103.85334,0.426,3,0.429,59.09,0.933,1180.0,0,0,0,0,0,0
1123,2021-02,2021,2,Figment,Novena,Central,Master,6-Month,1.32194,103.85049,0.753,4,0.571,76.05,0.957,1350.0,0,0,0,0,0,0
1124,2021-02,2021,2,Bonztel,Tampines,East,Deluxe,6-Month,1.34944,103.9438,0.417,6,0.857,55.77,0.61,1960.0,0,0,0,0,0,0
1125,2021-02,2021,2,Figment,Buona Vista,West,Deluxe,3-Month,1.30187,103.7927,0.684,3,0.429,78.1,0.897,1730.0,0,0,0,0,0,0
1126,2021-02,2021,2,Lyf,Kallang,Central,Deluxe,12-Month,1.30865,103.87538,0.405,4,0.571,74.44,0.756,1920.0,1,0,0,0,0,0
1127,2021-02,2021,2,Coliwoo,Outram,Central,Studio,6-Month,1.2818,103.83872,0.323,7,1.0,77.58,0.999,1710.0,0,0,0,0,0,0
1128,2021-02,2021,2,Lyf,Toa Payoh,Central,Twin-Share,12-Month,1.33693,103.85288,0.426,4,0.571,70.37,0.968,790.0,0,0,0,0,0,0
1129,2021-02,2021,2,Hmlet,Serangoon,North-East,Twin-Share,12-Month,1.35753,103.87277,0.19,4,0.571,65.3,0.973,740.0,0,0,0,0,0,0
1130,2021-02,2021,2,Figment,Rochor,Central,Master,3-Month,1.30539,103.85833,0.245,7,1.0,93.19,0.969,1690.0,0,0,0,0,0,0
1131,2021-02,2021,2,Hmlet,Woodlands,North,Studio,12-Month,1.43873,103.78361,0.364,6,0.857,49.2,1.0,1320.0,0,0,0,0,0,0
1132,2021-02,2021,2,Figment,Serangoon,North-East,Studio,Monthly,1.35598,103.86934,0.237,7,1.0,69.08,0.698,1740.0,0,0,0,0,0,0
1133,2021-02,2021,2,Cantonment,Jurong East,West,Twin-Share,3-Month,1.33349,103.73986,3.447,7,1.0,62.52,0.983,590.0,0,0,0,0,0,0
1134,2021-02,2021,2,The Assembly Place,Outram,Central,Studio,Monthly,1.27667,103.84031,0.293,6,0.857,73.07,0.727,1750.0,0,0,0,0,0,0
1135,2021-02,2021,2,Hmlet,Sengkang,North-East,Twin-Share,3-Month,1.39246,103.896,1.473,6,0.857,61.06,0.933,720.0,0,0,0,0,0,0
1136,2021-02,2021,2,Cantonment,Yishun,North,Studio,Monthly,1.43215,103.83379,0.393,4,0.571,47.57,0.791,1610.0,0,0,0,0,0,0
1137,2021-02,2021,2,Cantonment,Punggol,North-East,Suite,Monthly,1.40921,103.90309,0.583,4,0.571,53.25,0.671,1970.0,0,0,0,0,0,0
1138,2021-02,2021,2,The Assembly Place,Bishan,Central,Single,6-Month,1.35084,103.84212,2.072,6,0.857,64.61,0.86,920.0,0,0,0,0,0,0
1139,2021-02,2021,2,Hmlet,Kallang,Central,Deluxe,12-Month,1.3072,103.87426,0.4,2,0.286,70.78,0.935,2040.0,0,0,0,0,0,0
1140,2021-02,2021,2,Hmlet,Bishan,Central,Studio,Monthly,1.35335,103.84694,1.862,2,0.286,64.0,0.829,1640.0,0,0,0,0,0,0
1141,2021-02,2021,2,Bonztel,Jurong East,West,Deluxe,Monthly,1.32831,103.74861,2.325,6,0.857,62.84,0.721,1520.0,0,0,0,0,0,0
1142,2021-02,2021,2,Cove,Kallang,Central,Twin-Share,12-Month,1.30617,103.86735,0.67,3,0.429,81.88,1.0,820.0,0,0,0,0,0,0
1143,2021-02,2021,2,Cove,Sengkang,North-East,Suite,12-Month,1.38975,103.89359,1.869,7,1.0,38.95,0.896,1480.0,0,0,0,0,0,0
1144,2021-02,2021,2,The Assembly Place,Queenstown,Central,Master,3-Month,1.29903,103.78116,0.768,2,0.286,70.57,0.916,1450.0,0,0,0,0,0,0
1145,2021-02,2021,2,Cantonment,Kallang,Central,Deluxe,6-Month,1.31515,103.87661,0.769,5,0.714,74.77,0.786,2190.0,0,0,0,0,0,0
1146,2021-02,2021,2,Hmlet,Woodlands,North,Single,Monthly,1.43662,103.7903,0.42,5,0.714,47.94,1.0,990.0,0,0,0,0,0,0
1147,2021-02,2021,2,Hmlet,Queenstown,Central,Single,3-Month,1.28929,103.78972,0.678,5,0.714,80.07,0.888,1100.0,0,0,0,0,0,0
1148,2021-02,2021,2,Cove,Rochor,Central,Studio,3-Month,1.30402,103.85561,0.108,3,0.429,78.81,0.883,1840.0,0,0,0,0,0,0
1149,2021-02,2021,2,Coliwoo,Kallang,Central,Deluxe,3-Month,1.30856,103.86463,0.834,4,0.571,79.58,0.713,2210.0,0,0,0,0,0,0
1150,2021-02,2021,2,Figment,Rochor,Central,Twin-Share,Monthly,1.30219,103.85741,0.32,7,1.0,90.54,1.0,880.0,1,0,0,0,0,0
1151,2021-02,2021,2,Lyf,Woodlands,North,Studio,12-Month,1.43823,103.78465,0.236,7,1.0,44.05,0.755,1410.0,1,0,0,0,0,0
1152,2021-02,2021,2,The Assembly Place,Rochor,Central,Single,12-Month,1.30471,103.86221,0.668,2,0.286,85.92,0.967,1010.0,0,0,0,0,0,0
1153,2021-02,2021,2,The Assembly Place,Kallang,Central,Master,Monthly,1.31054,103.87426,0.258,7,1.0,83.17,0.947,1510.0,1,0,0,0,0,0
1154,2021-02,2021,2,Cantonment,Paya Lebar,East,Deluxe,12-Month,1.32072,103.89224,0.193,2,0.286,64.69,0.846,1760.0,0,0,0,0,0,0
1155,2021-02,2021,2,Bonztel,Jurong East,West,Master,Monthly,1.33267,103.7449,2.952,3,0.429,58.61,0.885,1060.0,0,0,0,0,0,0
1156,2021-02,2021,2,Hmlet,Bishan,Central,Deluxe,12-Month,1.35138,103.84825,1.935,2,0.286,55.61,0.848,1600.0,0,0,0,0,0,0
1157,2021-02,2021,2,The Assembly Place,Sengkang,North-East,Studio,12-Month,1.38948,103.89163,2.016,5,0.714,52.21,0.949,1210.0,0,0,0,0,0,0
1158,2021-02,2021,2,Figment,Tampines,East,Deluxe,6-Month,1.36243,103.9451,1.048,3,0.429,55.73,0.99,1790.0,0,0,0,0,0,0
1159,2021-02,2021,2,Lyf,Novena,Central,Single,Monthly,1.32307,103.85132,0.882,4,0.571,81.4,0.948,1170.0,0,0,0,0,0,0
1160,2021-02,2021,2,Cantonment,Bishan,Central,Single,Monthly,1.34964,103.84736,1.758,6,0.857,64.31,0.902,1210.0,0,0,0,0,0,0
1161,2021-02,2021,2,Hmlet,Bedok,East,Single,3-Month,1.32161,103.93069,0.282,7,1.0,51.05,0.984,1070.0,0,0,0,0,0,0
1162,2021-02,2021,2,Hmlet,Clementi,West,Suite,12-Month,1.31229,103.76655,0.372,6,0.857,57.09,0.9,1480.0,0,0,0,0,0,0
1163,2021-02,2021,2,Figment,Rochor,Central,Twin-Share,6-Month,1.30233,103.85575,0.279,7,1.0,82.11,0.961,880.0,0,0,0,0,0,0
1164,2021-02,2021,2,Coliwoo,Geylang,Central,Deluxe,Monthly,1.31925,103.89172,0.021,2,0.286,74.9,0.715,2550.0,1,0,0,0,0,0
1165,2021-02,2021,2,Bonztel,Queenstown,Central,Master,12-Month,1.29515,103.79063,0.514,4,0.571,70.41,0.872,1440.0,0,0,0,0,0,0
1166,2021-02,2021,2,Lyf,Tampines,East,Suite,Monthly,1.35372,103.94265,0.273,2,0.286,52.29,0.742,1790.0,0,0,0,0,0,0
1167,2021-02,2021,2,Lyf,Paya Lebar,East,Single,6-Month,1.31376,103.89343,0.44,6,0.857,72.12,0.975,1060.0,0,0,0,0,0,0
